DisneyAge
+7
+7
+0
+7
+18
+13
+13
+0
+13
+0
+0
+7
+18
+0
+13
+13
+7
+7
+7
+13
+0
+0
+13
+0
+0
+7
+7
+0
+0
+7
+13
+0
+13
+13
+13
+13
+7
+13
+13
+13
+7
+0
+13
+13
+13
+13
+7
+7
+0
+0
+13
+7
+7
+7
+13
+7
+7
+7
+13
+7
+7
+7
+13
+13
+13
+13
+7
+13
+0
+13
+0
+13
+13
+13
+7
+13
+7
+7
+0
+13
+0
+13
+0
+7
+7
+0
+13
+7
+7
+13
+0
+7
+7
+7
+16
+7
+0
+13
+7
+13
+7
+7
+13
+0
+13
+7
+13
+7
+7
+13
+0
+0
+0
+13
+7
+13
+7
+0
+7
+0
+0
+0
+7
+0
+0
+0
+0
+7
+7
+7
+0
+0
+13
+7
+0
+0
+7
+0
+7
+0
+7
+7
+7
+7
+7
+13
+7
+7
+7
+7
+0
+0
+0
+13
+0
+7
+7
+7
+7
+0
+0
+0
+7
+7
+0
+7
+7
+0
+0
+7
+7
+13
+7
+7
+7
+0
+7
+7
+0
+7
+0
+7
+7
+13
+7
+7
+13
+0
+13
+0
+7
+7
+0
+0
+0
+7
+0
+0
+7
+7
+0
+7
+13
+0
+0
+7
+7
+0
+0
+0
+7
+7
+0
+7
+7
+0
+0
+7
+0
+7
+0
+7
+7
+0
+0
+0
+0
+0
+0
+0
+7
+0
+0
+7
+7
+7
+7
+0
+0
+0
+7
+7
+0
+7
+0
+0
+0
+7
+7
+0
+0
+0
+0
+7
+0
+7
+0
+7
+7
+0
+7
+0
+0
+0
+7
+7
+0
+0
+7
+13
+7
+7
+7
+0
+7
+7
+0
+7
+7
+7
+0
+7
+7
+0
+0
+0
+7
+0
+0
+0
+0
+0
+0
+7
+7
+0
+0
+7
+0
+7
+0
+0
+0
+0
+7
+0
+7
+7
+13
+7
+0
+7
+0
+0
+7
+0
+0
+0
+0
+7
+0
+0
+0
+0
+7
+0
+7
+0
+0
+7
+0
+7
+0
+0
+7
+0
+0
+0
+7
+0
+7
+7
+7
+0
+0
+0
+0
+7
+7
+0
+7
+0
+0
+7
+7
+7
+0
+7
+7
+0
+0
+0
+7
+0
+7
+0
+7
+0
+0
+7
+7
+0
+0
+0
+0
+7
+0
+7
+0
+0
+18
+0
+7
+7
+0
+0
+7
+0
+0
+0
+7
+7
+7
+7
+0
+0
+7
+7
+0
+0
+0
+0
+7
+0
+7
+0
+7
+7
+13
+7
+0
+7
+0
+7
+7
+0
+0
+0
+0
+0
+0
+0
+0
+0
+7
+0
+0
+0
+0
+0
+7
+7
+0
+0
+0
+7
+7
+0
+0
+7
+0
+0
+0
+0
+0
+0
+7
+7
+7
+0
+7
+7
+0
+7
+0
+0
+0
+0
+7
+0
+0
+7
+0
+0
+7
+0
+7
+7
+0
+0
+0
+0
+0
+0
+7
+7
+7
+0
+7
+0
+7
+0
+7
+0
+0
+0
+7
+0
+7
+0
+7
+0
+0
+0
+0
+13
+7
+0
+7
+0
+7
+0
+0
+0
+0
+0
+7
+7
+0
+0
+7
+0
+7
+0
+7
+0
+0
+0
+7
+0
+0
+0
+0
+0
+0
+0
+0
+0
+0
+0
+0
+7
+0
+0
+0
+7
+7
+0
+7
+7
+0
+0
+0
+0
+7
+7
+7
+0
+0
+0
+13
+13
+0
+0
+0
+0
+0
+0
+7
+7
+0
+0
+0
+0
+0
+7
+0
+0
+7
+0
+0
+7
+0
+7
+0
+0
+0
+7
+7
+7
+0
+0
+0
+7
+7
+7
+7
+0
+0
+0
+0
+0
+0
+0
+7
+7
+0
+0
+0
+7
+7
+0
+0
+0
+0
+7
+0
+0
+0
+0
+7
+16
+0
+0
+7
+13
+0
+0
+13
+7
+7
+0
+0
+0
+0
+7
+0
+7
+0
+13
+7
+0
+0
+0
+0
+7
+7
+7
+7
+7
+0
+0
+0
+7
+0
+0
+7
+7
+7
+0
+0
+0
+0
+0
+13
+0
+0
+13
+0
+0
+0
+0
+0
+0
+0
+0
+7
+0
+0
+0
+0
+7
+7
+7
+7
+0
+7
+0
+7
+7
+0
+0
+0
+7
+0
+7
+0
+0
+0
+7
+7
+0
+0
+0
+7
+0
+7
+7
+0
+13
+0
+0
+7
+0
+0
+0
+0
+7
+0
+7
+13
+13
+7
+13
+7
+13
+7
+0
+16
+7
+16
+7
+13
+13
+7
